name,gender,affliation
Aadilah Chohan,FEMALE,UMG
Aakash Gokhale,MALE,GN
Aariya Massallia,FEMALE,UMZ
Abdul Hay,MALE,JTTA
Adam Domingo,MALE,CT
Aditi Baijnath,FEMALE,UMG
Agobakwe Sebetlela,MALE,BOT
Aiden Jansen,MALE,WC
Akheela Djeudje,FEMALE,WC
Alexander Jones,MALE,CT
Alicia Verheijen,FEMALE,GN
Alungile Maqondo,MALE,EC
Alyssa Nair,FEMALE,UMG
Amaru Joseph,MALE,WC
Amber Parbhoodeen,FEMALE,UMG
Amerish Singh,MALE,ETK
Amila Mbolambi,FEMALE,EC
Amogelang Makolote,FEMALE,NW
Amogelang Marumo,MALE,FS
Amogelang Thabethe,FEMALE,EKU
Anande Kuse,FEMALE,USSA
Anathi Cele,FEMALE,ETK
Andrea Mouton,FEMALE,EDEN
Andrew Mudie,MALE,NMB
Aneliswa Kunene,FEMALE,UMZ
Anethemba Nyamkhazi,MALE,EC
Anotidaishe Husvu,FEMALE,GN
Aphiwe Makhubu,FEMALE,UMZ
Arbee Ahmed,MALE,UMG
Arika Boodhoo,FEMALE,UMZ
Arisha Madaree,FEMALE,ETK
Arya Heeralal,FEMALE,ETK
Aryik Bhundoo,MALE,UMG
Asanda Vilakazi,FEMALE,ETK
Asemahle Tshabalala,FEMALE,JTTA
Asher Abrahams,MALE,JTTA
Ashley-Ann Francies,FEMALE,EDEN
Ashlyn Ramthol,MALE,UMG
Athi Mda,FEMALE,GN
Atlegang Maichotlo,MALE,NW
Atlegang Semetsa,MALE,NW
Awande Zulu,MALE,JTTA
Ayola Mbethe,MALE,EC
Azalea Lallo,FEMALE,CT
Azile Machi,FEMALE,FS
Azola Madonyela,MALE,EC
Bahumi Seseane,MALE,FS
Banam Mtshawulana,FEMALE,EC
Bhavna Heeralal,FEMALE,ETK
Bimal Jivraj,MALE,JTTA
Binyamin Salie,MALE,GN
Boinelo Segomoco,MALE,NC
Boingotlo Mothupi,FEMALE,USSA
Boipelo Mashwabi,FEMALE,FS
Boitshepo Semetsa,MALE,NW
Boitumelo Lehetla,MALE,FS
Bokamoso Mojatau,FEMALE,FS
Bongisipho Machi,MALE,ETK
Bontle Wildebees,FEMALE,FS
Bophelo Motshabi,FEMALE,FS
Brady Naidoo,MALE,ETK
Briana Mogaladi,FEMALE,BOT
Brodie Kleintjies,MALE,CW
Bulelani November,MALE,EKU
CJ Verster,MALE,GN
Caitlin Lingeveldt,FEMALE,CT
Caleb Lawrence,MALE,CT
Callum Frank,MALE,UMG
Camryn Otto,FEMALE,CT
Cape Town,FEMALE,CT
Cape Town,MALE,CT
Carline Rautenbach,FEMALE,GN
Carlynne Kroutz,FEMALE,NMB
Carol David,FEMALE,BOT
Cassie Stevens,FEMALE,EDEN
Caydon Brigraj,MALE,UMG
Cedric Modise,MALE,FS
Channan Hurwitz,MALE,JTTA
Charity Radingoana,FEMALE,LIM
Chervon Nysschens,FEMALE,NMB
Chetan Nathoo,MALE,JTTA
Chris-Will Skippers,MALE,WC
Christian Naidoo,MALE,ETK
Christian Poggenpoel,MALE,CT
Chumani Mvula,MALE,EC
Confidance Moati,FEMALE,LIM
Cowen Lodewyk,MALE,JTTA
Cuten Lodewyk,MALE,CT
DJ Swanevelder,MALE,USSA
