name,gender,affliation
Adrunecia DE VILLIER,FEMALE,WC
Cape Town B,MALE,CT-B
Derick DE KOCK,MALE,GN
Eden,FEMALE,EDEN
Eden,MALE,EDEN
Ekurhuleni,FEMALE,EKU
Ekurhuleni,MALE,EKU
Ethekwini,FEMALE,ETK
Ethekwini,MALE,ETK
Gerswin VAN HEERDEN,MALE,EDEN
JG DU TOIT,MALE,GN
Johannesburg,FEMALE,JHB
Johannesburg,MALE,JHB
Kareem ZAIN EDDIN,MALE,GN
Kauthar VAN DER SCHYFF,FEMALE,CT
Le Roux STRYDOM,MALE,USSA
Limpopo,FEMALE,LIM
Limpopo,MALE,LIM
Llewellyn VAN ROOYEN,MALE,EDEN
Michael DE KOCK,MALE,NMB
Michelle MC LEOD,FEMALE,GN
Nelson Mandela Bay,FEMALE,NMB
Nelson Mandela Bay,MALE,NMB
So Sze Hin DICKSON,MALE,ETK
Tamika VAN AS,FEMALE,CT
Umgungundlovu,FEMALE,UMG
Umgungundlovu,MALE,UMG
Umzinyathi,FEMALE,UMZ
Umzinyathi,MALE,UMZ
"['Aadilah CHOHAN', 'Saerin CHETTY']",MALE,"['UMG', 'UMG']"
"['Aakash GOKHALE', 'Jacob MTHWA']",MALE,"['GN', 'CT']"
"['Aariya MASSALLIA', 'Siyabonga THWALA']",MALE,"['UMZ', 'UMZ']"
"['Adam DOMINGO', 'Yaqeen MANUEL']",MALE,"['CT', 'CT']"
"['Adrunecia DE VILLIER', 'Amaru JOSEPH']",MALE,"['WC', 'WC']"
"['Adrunecia DE VILLIER', 'Zainick SWARTZ']",FEMALE,"['WC', 'WC']"
"['Alicia VERHEIJEN', 'Kareem ZAIN EDDIN']",MALE,"['GN', 'GN']"
"['Alyssa NAIR', 'Luyanda NGCOBO']",MALE,"['UMG', 'UMG']"
"['Amber PARBHOODEEN', 'Ezra REDLINGHYS']",MALE,"['UMG', 'UMG']"
"['Amber PARBHOODEEN', 'Jiya NAIDOO']",FEMALE,"['UMG', 'UMG']"
"['Amerish SINGH', 'Yuvaan SINGH']",MALE,"['ETK', 'ETK']"
"['Amila MBOLAMBI', 'Olona TOLBATI']",FEMALE,"['EC', 'EC']"
"['Amogelang MAKOLOTE', 'Siyabonga MALEPA']",MALE,"['NW', 'NW']"
"['Amogelang MARUMO', 'Kgotso SEKIKE']",MALE,"['FS', 'FS']"
"['Anande KUSE', 'Nokubonga MABASO']",FEMALE,"['USSA', 'USSA']"
"['Anande KUSE', 'Ntuthuzelo LUSITHI']",MALE,"['USSA', 'USSA']"
"['Anathi CELE', 'Asanda VILAKAZI']",FEMALE,"['ETK', 'ETK']"
"['Andrea MOUTON', 'Jae-Leigh HOFFMAN']",FEMALE,"['EDEN', 'EDEN']"
"['Andrea MOUTON', 'Xhaiden WILLIAMS']",MALE,"['EDEN', 'EDEN']"
"['Aneliswa KUNENE', 'Junior MTHEMBU']",MALE,"['UMZ', 'UMZ']"
"['Aneliswa KUNENE', 'Olwethu NXUMALO']",FEMALE,"['UMZ', 'UMZ']"
"['Anotidaishe HUSVU', 'Aakash GOKHALE']",MALE,"['GN', 'GN']"
"['Anotidaishe HUSVU', 'Tadiwanashe HUSVU']",FEMALE,"['GN', 'GN']"
"['Aphiwe MAKHUBU', 'Siyanda ZIQUBU']",MALE,"['UMZ', 'UMZ']"
"['Arisha MADAREE', 'Kavir GAYANDA']",MALE,"['ETK', 'ETK']"
"['Arisha MADAREE', 'Sameera MAAL']",FEMALE,"['ETK', 'JTTA']"
"['Arya HEERALAL', 'Mikyle REDDY']",MALE,"['ETK', 'ETK']"
"['Asemahle TSHABALALA', 'Diyanah KHAN']",FEMALE,"['JTTA', 'JTTA']"
"['Asemahle TSHABALALA', 'Muhammad BHOLAT']",MALE,"['JTTA', 'JTTA']"
"['Asher ABRAHAMS', 'Larushen PADAYACHEE']",MALE,"['JTTA', 'JTTA']"
