ID,Name,Club,Rating,Played,Won,Lost,"Win %"
516,"Shaun Jones",Duinefontein,1542,14,14,0,100.0
330,"Theo Cogill","Community House",1514,12,12,0,100.0
364,"Nashwin Pienaar",Liv-Ken,1513,14,14,0,100.0
256,"Theo Lingeveldt",Boundary,1503,14,13,1,92.9
264,"Cuten Lodewyk","Community House",1495,19,16,3,84.2
533,"Rochica Sonday",Duinefontein,1486,16,14,2,87.5
147,"Moeneeb Isaacs","MP Royals",1478,14,11,3,78.6
244,"Musfiquh Kalam",Boundary,1472,18,16,2,88.9
688,"Isgaaq Jassiem",Stephanians,1470,14,13,1,92.9
242,"Denver Sweatz",Boundary,1460,14,11,3,78.6
560,"Ashlyn Wagner",Stephanians,1449,14,11,3,78.6
379,"Zahier Isaacs",Nexus,1446,14,11,3,78.6
424,"Kirshwan Steyn",Ravens,1444,14,11,3,78.6
347,"Darren Rodgers",Liv-Ken,1443,12,10,2,83.3
354,"Adrian Philander",Liv-Ken,1434,12,10,2,83.3
503,"Lindsay October",Duinefontein,1433,14,10,4,71.4
154,"Llewellyn Bartlett","MP Royals",1430,14,11,3,78.6
263,"Jodie Galant","Community House",1430,12,9,3,75.0
540,"Bernard Stewe",Goodwood,1429,12,10,2,83.3
485,"David Nwafor",Duinefontein,1428,14,10,4,71.4
561,"Yusuf Steyn",Stephanians,1424,14,10,4,71.4
289,"Emmanuel Uzoukwu","Community House",1421,14,12,2,85.7
173,"Errol Kannemeyer","MP Royals",1414,14,14,0,100.0
339,"Benjamin Vd Ross",Liv-Ken,1409,14,11,3,78.6
95,"Timothy Fitzgibbon",Top,1408,18,12,6,66.7
426,"Warren Julius",Ravens,1406,16,11,5,68.8
6,"Joshua Du Plooy",Ravens,1402,18,12,6,66.7
335,"Grant Bailey",Liv-Ken,1398,8,8,0,100.0
378,"Muaath Adams",Nexus,1396,14,10,4,71.4
294,"Mahdi Adams","Community House",1395,12,9,3,75.0
496,"Jerome Davies",Duinefontein,1395,12,8,4,66.7
189,"Alex Kleintjies","SP Saints",1393,12,11,1,91.7
545,"Daryl Williams",Goodwood,1392,14,9,5,64.3
519,"Wayden Brown",Duinefontein,1390,12,11,1,91.7
305,"Stephen Katzef","Community House",1386,14,11,3,78.6
340,"Derrel Adriaans",Liv-Ken,1384,14,10,4,71.4
194,"Carl Adams",Steenberg,1383,12,10,2,83.3
216,"Daylin May","Bishop Lavis",1383,16,12,4,75.0
195,"Gavern Africa",Steenberg,1379,12,10,2,83.3
514,"Samkele Notshe",Duinefontein,1379,12,10,2,83.3
258,"Rashaad Safodien",Boundary,1376,14,10,4,71.4
341,"Damian Jeftha",Liv-Ken,1376,12,10,2,83.3
180,"Garth Arenz","SP Saints",1375,14,12,2,85.7
333,"Munier Ferhelst",DLPE,1375,14,12,2,85.7
387,"Munier Isaacs",Nexus,1375,12,8,4,66.7
161,"Rashied Ismail","MP Royals",1374,14,11,3,78.6
343,"Ashley Wesson",Liv-Ken,1374,12,8,4,66.7
522,"Zakeer Moosa",Duinefontein,1370,10,6,4,60.0
164,"Llewellyn Paris","MP Royals",1368,14,11,3,78.6
182,"Jamie Louw","SP Saints",1368,14,12,2,85.7
594,"Dale Titus",Stephanians,1368,12,8,4,66.7
179,"Kevin Roodt","SP Saints",1367,14,10,4,71.4
857,"Shane Overmeyer",Kuilsriver,1364,12,11,1,91.7
196,"Lester Van Der Ross",Steenberg,1362,12,9,3,75.0
